state,model,step,abs_error,pct_error
Kentucky,arima,2,33827759.459056884,20.177123177461986
Kentucky,arima,3,29796188.995859653,17.33254325676758
Kentucky,arima,4,47238460.96624336,30.58490714905248
Kentucky,arima,5,47239668.11325988,30.585688725730904
Kentucky,arima,6,41800852.563424885,26.143676269355133
Kentucky,arima,7,50308655.58834115,33.2331010192991
Kentucky,arima,8,48840361.90862721,31.95324496921736
Kentucky,sarima,1,87911817.58382845,50.654459360586245
Kentucky,sarima,2,30709623.238135368,18.317259573731807
Kentucky,sarima,3,24406901.06969279,14.197576361623968
Kentucky,sarima,4,42495757.88483539,27.514207333407676
Kentucky,sarima,5,70041687.6171659,45.349032727056645
Kentucky,sarima,6,53972349.88504112,33.75614506306784
Kentucky,sarima,7,57953392.32282242,38.283093017531705
Kentucky,sarima,8,57958321.001362115,37.91856482197621
Kentucky,prophet,1,32652379.450052887,18.81417849542221
Kentucky,prophet,2,49258661.581561476,29.381138395850183
Kentucky,prophet,3,43549537.77564186,25.332912454456284
Kentucky,prophet,4,45189741.88019785,29.258448120974272
Kentucky,prophet,5,29335235.812392622,18.99332546330708
Kentucky,prophet,6,23049957.562866867,14.416228176964038
Kentucky,prophet,7,44988796.13793993,29.718886130109567
Kentucky,prophet,8,56306261.77440292,36.83772407633549
Kentucky,xgboost,1,10349716.900000036,5.963468035508607
Kentucky,xgboost,2,4451762.700000018,2.6553270388317762
Kentucky,xgboost,3,8706662.300000012,5.0646947150787405
Kentucky,xgboost,4,8752028.899999976,5.666568846593193
Kentucky,xgboost,5,8752028.899999976,5.666568846593193
Kentucky,xgboost,6,3313302.099999994,2.07225193202799
Kentucky,xgboost,7,11821098.599999994,7.808830495242591
Kentucky,xgboost,8,10352805.400000006,6.773203844879835
Rhode Island,arima,1,2936535.5065877773,10.47760000797443
Rhode Island,arima,2,5372158.854434341,21.3736966540843
Rhode Island,arima,3,3380227.530023519,12.443447619676498
Rhode Island,arima,4,6995727.907217082,29.71089931572484
Rhode Island,arima,5,6995998.238801926,29.712047415623193
Rhode Island,arima,6,6652719.741454933,27.84816829320174
Rhode Island,arima,7,6784135.147149965,28.555352332986274
Rhode Island,arima,8,6156368.787145648,25.245911603289795
Rhode Island,sarima,1,11757367.861236263,41.9504539687285
Rhode Island,sarima,2,5026460.343243729,19.998298920665132
Rhode Island,sarima,3,3205686.4965557717,11.800919213482194
Rhode Island,sarima,4,6779129.553887937,28.791004781079625
Rhode Island,sarima,5,10698550.301928133,45.43680872963673
Rhode Island,sarima,6,8477181.31376724,35.48533247338424
Rhode Island,sarima,7,8500296.877353016,35.77891168187731
Rhode Island,sarima,8,8003731.072006177,32.82153719612629
Rhode Island,prophet,1,3396394.3113836236,12.118382694234127
Rhode Island,prophet,2,8161303.404107735,32.47060036531841
Rhode Island,prophet,3,5986037.173978385,22.03607282712063
Rhode Island,prophet,4,7092670.686869755,30.12261589530703
Rhode Island,prophet,5,4553750.568266537,19.339806584403448
Rhode Island,prophet,6,4080667.307576429,17.0816018630453
Rhode Island,prophet,7,6354444.73155373,26.746726628262145
Rhode Island,prophet,8,7724684.874385297,31.677230238252
Rhode Island,xgboost,1,2503272.3999999985,8.93171114715352
Rhode Island,xgboost,2,389083.40000000596,1.548009057452847
Rhode Island,xgboost,3,1641195.6999999993,6.041644399732523
Rhode Island,xgboost,4,1977524.4000000022,8.39855825184055
Rhode Island,xgboost,5,1977524.4000000022,8.39855825184055
Rhode Island,xgboost,6,1634268.6000000052,6.841019729946135
Rhode Island,xgboost,7,1765682.0999999978,7.431997355584592
Rhode Island,xgboost,8,1137915.9000000022,4.666342322337936
Wyoming,arima,1,1244017.3765016533,5.04373019839683
Wyoming,arima,2,4636065.489590321,22.44937109837377
Wyoming,arima,3,4332528.893349066,20.61591998903258
Wyoming,arima,4,6213414.452821691,32.48226748985046
Wyoming,arima,5,6213994.02364352,32.485297349617085
Wyoming,arima,6,5466218.596642848,27.501113114824015
Wyoming,arima,7,5632851.429387219,28.57904381488566
Wyoming,arima,8,5748072.988810111,29.335127915457022
Wyoming,sarima,1,8784258.782273684,35.614800988776594
Wyoming,sarima,2,4139351.152555883,20.044115066722203
Wyoming,sarima,3,3467507.699701052,16.499800245563364
Wyoming,sarima,4,5483242.867040087,28.665102396014568
Wyoming,sarima,5,9308932.2753702,48.664905666506726
Wyoming,sarima,6,6824245.104578905,34.33348542986759
Wyoming,sarima,7,6857250.336604785,34.791199497478495
Wyoming,sarima,8,7170074.214465737,36.5922709496097
Wyoming,prophet,1,1126671.362872485,4.567963827458091
Wyoming,prophet,2,6688639.491003517,32.38861711809959
Wyoming,prophet,3,5951825.81806308,28.321187896105936
Wyoming,prophet,4,5551900.732436545,29.024029547265062
Wyoming,prophet,5,3539553.3439945467,18.50395131166779
Wyoming,prophet,6,2984943.979374267,15.017562976460708
Wyoming,prophet,7,5129883.687611084,26.027168035826104
Wyoming,prophet,8,6846332.44930242,34.94006400806081
Wyoming,xgboost,1,5115707.5,20.741067521479962
Wyoming,xgboost,2,1102282.0999999978,5.3376165573065295
Wyoming,xgboost,3,1466530.3999999985,6.978343164496008
Wyoming,xgboost,4,420287.0,2.19716145770818
Wyoming,xgboost,5,420287.0,2.19716145770818
Wyoming,xgboost,6,327431.80000000075,1.6473433709220553
Wyoming,xgboost,7,160804.50000000373,0.8158636720214071
Wyoming,xgboost,8,45582.400000002235,0.23262848911220868
Vermont,arima,1,1983929.5472666025,9.97231156356174
Vermont,arima,2,3635116.0073573515,20.34457988553297
Vermont,arima,3,2301897.564794015,11.968763012678236
Vermont,arima,4,3277368.1522561535,17.95383790957312
Vermont,arima,5,3277591.744976189,17.955062778817826
Vermont,arima,6,4483449.233466327,26.29814324364207
Vermont,arima,7,4335947.816133697,25.214801120623537
Vermont,arima,8,4499649.482979264,26.418269032466807
Vermont,sarima,1,8331542.539015174,41.87887524463718
Vermont,sarima,2,3383399.292291153,18.9358020617102
Vermont,sarima,3,2510299.335476149,13.052352240481332
Vermont,sarima,4,3315886.1805375777,18.164844547898138
Vermont,sarima,5,5804535.846007261,31.79798267331674
Vermont,sarima,6,6039950.883591462,35.427967453184664
Vermont,sarima,7,5639218.556253418,32.79370057051336
Vermont,sarima,8,5938778.227869254,34.86765836794169
Vermont,prophet,1,2434482.8887794577,12.237038304367848
Vermont,prophet,2,5953620.513317421,33.32050693738064
Vermont,prophet,3,4571696.678349223,23.77062947799179
Vermont,prophet,4,3750334.4562359564,20.54480723735451
Vermont,prophet,5,1869622.9389256202,10.24203130014024
Vermont,prophet,6,2915998.551189795,17.10409633391869
Vermont,prophet,7,4289848.560779754,24.946720505992207
Vermont,prophet,8,5950442.435428485,34.936141074098224
Vermont,xgboost,1,2478729.1999999993,12.459444388110832
Vermont,xgboost,2,452086.19999999925,2.530181648242197
Vermont,xgboost,3,1816892.8999999985,9.44697143439726
Vermont,xgboost,4,838764.6999999993,4.59485927990879
Vermont,xgboost,5,838764.6999999993,4.59485927990879
Vermont,xgboost,6,367111.59999999776,2.15333171861041
Vermont,xgboost,7,219608.59999999404,1.2770880573733534
Vermont,xgboost,8,383310.3999999985,2.2504858008267865
